day,avg_return,std_return,cumulative_return,n_events
-10,-0.005572003998609539,0.0222791127518697,-0.005572003998609576,3
-9,-0.02575557495795555,0.017231033348590122,-0.031184068789912867,3
-8,-0.011688131934144455,0.02747527933539122,-0.042507717213797314,3
-7,0.017203873618583703,0.011878541676523201,-0.02603514098997417,3
-6,0.005273807949015848,0.021583337290483857,-0.020898637374465068,3
-5,0.040274452714997556,0.007639162401388316,0.018534134157786708,3
-4,-0.02756401067229101,0.0480285631429401,-0.009540751586231133,3
-3,0.004421768405923232,0.030052332869679448,-0.005161170174240781,3
-2,-0.011902649039603438,0.009401745084189093,-0.017002387616626646,3
-1,-0.020104240708372318,0.011139649331897086,-0.036764808231737334,3
0,-0.0008793823653551932,0.17706225911648193,-0.037611860273067954,3
1,0.031295033107754354,0.04512519405012056,-0.0074938915778034465,3
2,-0.008144692923207297,0.029186441360652092,-0.015577549055309725,3
3,-0.01009751568295758,0.033311143918398775,-0.02551777019237933,3
4,0.011517805941467082,0.03640308148772566,-0.014293872976047006,3
5,-0.003720469061781473,0.02376558970065026,-0.017961162125648023,3
6,0.007097711328939031,0.008618701094653632,-0.010990933940609127,3
7,-0.018612888787469844,0.06005786310763909,-0.02939924969697194,3
8,7.079228856354813e-05,0.02500319698448893,-0.029330538648576376,3
9,0.007158188296066774,0.017512898414773694,-0.02238230387098117,3
10,0.01876170498010336,0.009087588219466362,-0.004040529072880106,3
11,0.008847231629608801,0.010488787357302236,0.004770955060114934,3
12,0.0037037087032062432,0.024989785697993105,0.008492333991099832,3
13,0.028747225649069657,0.017144387176320778,0.03748369068169888,3
14,-0.01149093556291747,0.032386691226532024,0.025562032444497618,3
15,0.0004309408707392863,0.0030985888714943166,0.026003989039756314,3
16,0.0006368188770481398,0.020108786600233002,0.026657367747903393,3
17,0.0013442758072137462,0.013744911092812128,0.02803747840966464,3
18,-0.004994426180075728,0.027361395054441285,0.022903021113396482,3
19,-0.0301172289438895,0.008813657646689274,-0.007903983360871836,3
20,-0.024002311200591857,0.012863858720641847,-0.03171658069311167,3
