ticker,overall_score,recommendation,momentum_score,trend_score,beta_score,volatility_score,liquidity_score,retail_score,regime_score,hurst,beta,adx,volatility,is_trending,is_high_beta,has_retail_interest,in_bull_regime
MU,83.15820949858453,EXCELLENT,100.0,59.646647549332,84.25157024989842,87.80155070270074,100,62.08333333333333,100.0,0.981132567589446,2.291320661245429,,0.7153695163963506,False,True,True,True
AMAT,78.8763403815373,EXCELLENT,100.0,60.944281567576894,71.10076048661338,75.8933242491061,100,60.833333333333336,100.0,1.0118848493080397,1.699534221897602,,0.43751089914580904,False,True,True,True
MRNA,77.49122771608234,EXCELLENT,85.71428571428571,60.088666795755515,63.3393643147918,91.5648199526216,100,72.5,93.56082716444973,1.0233992066107518,1.350271394165631,,0.8031791322278373,False,True,True,True
INTC,76.53411880458039,EXCELLENT,85.71428571428571,51.60723860920588,67.92230741736864,89.71784630536776,100,73.75,93.05351021206354,0.9991107844495178,1.556503833781589,,0.7600830804585811,False,True,True,True
RIOT,74.6879646438497,GOOD,71.42857142857143,40.179805066621846,86.69811225384632,92.04985933485605,100,75.41666666666667,73.55042654293386,1.0118297912593073,2.4014150514230845,,0.8144967178133079,False,True,True,True
DVN,71.75088405803497,GOOD,85.71428571428571,52.47199507451023,62.18976427137566,71.5782280549495,100,64.65349306229989,89.4718306305648,1.0017635008640562,1.2985393922119046,,0.336825321282155,False,True,True,True
AMD,70.51527456501786,GOOD,71.42857142857143,40.06744611056217,79.62212878995655,79.593401446027,100,56.05391403464243,94.94487357663085,1.0150694937354057,2.0829957955480447,,0.5238460337406302,False,True,False,True
NVDA,70.45088800635973,GOOD,85.71428571428571,40.58137079572931,74.2240543757883,71.59460948685086,100,54.24171769541452,83.67165273259972,1.0162571237791989,1.8400824469104733,,0.33720755469318675,False,True,False,True
NTLA,69.70369666792942,GOOD,71.42857142857143,46.59198913305484,66.53295476397005,96.862484780973,90,76.25,32.77241771328416,1.0035090298505462,1.4939829643786526,,0.9267913115560367,False,True,True,False
GS,68.88605407749108,GOOD,85.71428571428571,61.773768883172195,63.93624121941037,45.82673054114099,100,52.31562379582108,89.91245906728341,0.9948217023262163,1.3771308548734666,,0.2749603832468459,False,True,False,True
META,68.64455061746348,GOOD,85.71428571428571,46.23580104369762,65.9179175718491,71.7596878193634,100,53.766172437258994,58.60758669733148,1.019233936558575,1.4663062907332098,,0.34105938245181294,False,True,False,False
BA,68.63295208843648,GOOD,71.42857142857143,60.40674206626117,61.67439620059799,70.97152004584623,100,51.88939587020583,81.92685110905708,1.0032449942103638,1.2753478290269094,,0.32266880106974555,False,True,False,True
MS,67.81567118155141,GOOD,85.71428571428571,59.41986298424455,63.65223661022497,42.04236377598952,100,53.84362445968752,87.35354214866352,0.9935518364977656,1.3643506474601235,,0.25225418265593713,False,True,False,True
GOOGL,66.77445137065097,GOOD,85.71428571428571,58.08319928126946,54.0266018859177,46.308986669296644,100,53.470539549992864,98.3246407792521,1.007000646646251,1.060620710671413,,0.27785392001577985,False,False,False,True
SBUX,66.69318970726752,GOOD,85.71428571428571,56.15745579717659,54.67702070620131,49.01132166531982,100,62.978248633480725,74.67828301177506,1.0166704783757738,1.0757971498113639,,0.2940679299919189,False,False,True,True
C,64.29677718064003,GOOD,71.42857142857143,57.76649884043856,62.22198322006099,43.7362859764125,100,51.225897042944034,86.6066776413913,1.0001296841285807,1.2999892449027446,,0.262417715858475,False,True,False,True
AMZN,63.837604796827875,GOOD,85.71428571428571,40.011317915403126,64.26815174770593,44.887712764897145,100,49.478238721141146,83.15745869000477,1.0046581690089398,1.392066828646767,,0.26932627658938285,False,True,False,True
BNTX,63.81268863531905,GOOD,71.42857142857143,42.575179584084694,51.67767745099785,74.65195726437479,100,64.61062035007028,60.350946358500174,0.9994729903983931,1.0058124738566165,,0.4085456695020784,False,False,True,False
MRVL,62.12970041478887,GOOD,28.57142857142857,44.61922111387813,85.49846576098287,78.9965746453977,100,53.160164541597666,64.52749349123069,1.0013242895306163,2.347430959244229,,0.5099200750592796,False,True,False,True
SOFI,61.71938821661773,GOOD,14.285714285714285,49.8569348175739,86.92850703846197,83.47140739624591,100,55.0251024727143,69.63871263118763,1.0007994270306797,2.411782816730789,,0.6143328392457379,False,True,False,True
RIVN,61.66223896673734,GOOD,42.857142857142854,43.717278570649356,60.55692023882266,92.89996720081118,100,51.63540060779415,62.7487098502655,1.012924053520381,1.22506141074702,,0.8343325680189275,False,True,False,True
RTX,61.51133962708279,GOOD,85.71428571428571,58.990394455779665,34.39660060730553,36.2835168738786,100,56.812268585874826,91.34658163878667,1.0095248335393954,0.6025873475037956,,0.21770110124327158,False,False,False,True
