date,price,composite_score,signal_strength,fwd_1d,fwd_5d,fwd_10d,fwd_20d,win_5d,win_10d,year
2021-11-18 05:00:00+00:00,136.376220703125,66.4740107348114,0.6647401073481141,-2.270218959285497,-7.137888540396742,-22.03343823901668,-14.972153448729586,0,0,2021
2021-12-15 05:00:00+00:00,116.30914306640625,56.59185379008801,0.5659185379008801,-1.812688227228143,-3.8050106291479535,0.42459523438438396,7.267086270058543,0,1,2021
2021-12-30 05:00:00+00:00,116.80298614501953,70.32451189782914,0.7032451189782915,-3.414909376148989,2.9595937869314914,6.813560980459266,-6.309445948330072,1,1,2021
2022-01-20 05:00:00+00:00,124.43854522705078,60.27751351979654,0.6027751351979654,-5.952842752134546,-14.683666117753392,-5.769677510845983,-5.037016545691775,0,0,2022
2022-01-31 05:00:00+00:00,119.4621353149414,62.353957635425395,0.6235395763542539,1.136820775850711,-8.720881999976882,-3.076559343794383,-14.866043165660603,0,0,2022
2022-02-08 05:00:00+00:00,115.767822265625,57.156735560995784,0.5715673556099579,3.773586522137995,3.560299513902798,-9.991801722956229,-17.20262133977245,1,0,2022
2022-03-18 04:00:00+00:00,102.85197448730469,69.07280901011738,0.6907280901011739,-4.349042290142268,4.3305496159265155,1.7543784169351095,-12.54847743648957,1,1,2022
2022-04-01 04:00:00+00:00,104.65638732910156,65.88751957436877,0.6588751957436877,6.624323256051645,-6.0526310801615635,-14.056255933105122,-8.157887408527575,0,0,2022
2022-05-17 04:00:00+00:00,87.36244201660156,60.988021532113216,0.6098802153211321,-5.087509398931256,-10.348945966079137,1.5110337558085662,17.43668766379902,0,1,2022
2022-05-26 04:00:00+00:00,89.72718811035156,69.92678151891187,0.6992678151891186,-1.132515503725029,-1.3442031875253946,16.257403244460676,25.66680855137975,0,1,2022
2022-07-07 04:00:00+00:00,116.23316955566406,52.48856553033608,0.5248856553033608,-1.2174207219023403,-15.221825341449257,-14.10246227842179,-20.39382040489366,0,0,2022
2022-08-25 04:00:00+00:00,94.86503601074219,64.32845778574959,0.6432845778574959,-1.89207947467257,-6.186808105097652,-7.758535967476665,-21.11323250885666,0,0,2022
2022-09-12 04:00:00+00:00,89.92662048339844,58.690342854269915,0.5869034285426992,-5.512722554993854,-7.4242151982435995,-16.664901990029236,-16.316403806203894,0,0,2022
2022-10-04 04:00:00+00:00,79.87885284423828,59.844525719953765,0.5984452571995377,0.33288821525288004,-10.391149622426465,-9.237917794863193,-21.697777653824335,0,0,2022
2022-10-17 04:00:00+00:00,72.9080810546875,61.378843195576806,0.613788431955768,-0.5601175696468674,-17.74129968707253,-17.181182117425653,-7.086084773374546,0,0,2022
2022-11-04 04:00:00+00:00,66.29821014404297,64.27178941627085,0.6427178941627085,-0.14324776327846456,1.3751578136257825,15.284356821800715,29.66622281494513,1,1,2022
2023-01-03 05:00:00+00:00,87.35295104980469,57.280902898926776,0.5728090289892678,12.9810788673697,24.89670751435473,23.091977781438278,22.657095149615802,1,1,2023
2023-03-28 04:00:00+00:00,93.44998931884766,66.86833496887945,0.6686833496887945,1.544713767862449,2.35772402194947,-4.634157631881386,-15.833334489920825,1,0,2023
2023-05-11 04:00:00+00:00,83.46869659423828,66.67962218772148,0.6667962218772148,-2.901363194008555,-2.4121218868508487,-10.36524320068838,-2.7193133273171077,0,0,2023
2023-06-01 04:00:00+00:00,78.8246841430664,60.065646562840655,0.6006564656284066,1.5301147177102958,3.783139846466832,11.084332708170553,0.4216920937281543,1,1,2023
2023-06-13 04:00:00+00:00,83.1078109741211,56.485062337828296,0.564850623378283,2.114043311977021,-0.8456265049081035,-3.336761495136331,10.398814589813533,0,0,2023
2023-07-11 04:00:00+00:00,87.17250061035156,54.03810260427302,0.5403810260427302,2.4076757716740005,-0.6427692096027005,3.4753315151208497,2.647351091041261,0,1,2023
2023-09-01 04:00:00+00:00,90.23052978515625,57.311953774640166,0.5731195377464017,-0.3789139418143517,-6.630888288664893,-8.409652197029505,-8.925383725091097,0,0,2023
2023-10-10 04:00:00+00:00,82.784912109375,56.97901721456808,0.5697901721456808,0.699783536378562,-3.7398219336040595,-4.932887798706531,-2.0190430479493426,0,0,2023
2023-11-02 04:00:00+00:00,79.21406555175781,59.94396621715157,0.5994396621715157,2.277894499200883,-0.8152467564939037,-5.155264320248232,-11.293621167271162,0,0,2023
2023-12-15 05:00:00+00:00,70.76177978515625,62.59736796134877,0.6259736796134877,-0.8992130147555399,2.3915652674188603,1.6843006621751089,-6.245336870914231,1,1,2023
2024-01-23 05:00:00+00:00,71.24139404296875,63.61293033003207,0.6361293033003207,1.5941631347673457,-2.2966769732158276,5.687653730790876,2.1075415153454458,0,1,2024
2024-04-01 04:00:00+00:00,70.61579895019531,57.04338671053544,0.5704338671053544,-0.6678548284667074,-2.2625061124139645,-3.7481225192458667,4.143390154924176,0,0,2024
2024-04-11 04:00:00+00:00,72.04023742675781,54.305461391805,0.54305461391805,-4.756166244001292,-7.975952871593394,0.3473671791815125,6.158978943830085,0,1,2024
2024-04-24 04:00:00+00:00,71.8284912109375,58.576074639526624,0.5857607463952662,0.6431853832048251,1.179166121420283,5.131993528421064,10.786563231302871,1,1,2024
2024-05-03 04:00:00+00:00,78.27699279785156,64.06749959850129,0.6406749959850129,0.27049913244954205,-1.586132916020222,8.865116128563155,-4.217380989835984,0,1,2024
2024-05-15 04:00:00+00:00,77.94974517822266,59.86265839240888,0.5986265839240889,7.050258935351961,2.0866927166400373,-1.6792161400344452,-4.525503451150037,1,0,2024
