ticker,name,overall_score,recommendation,momentum_score,trend_score,beta_score,volatility_score,liquidity_score,retail_score,regime_score,hurst,beta,adx,volatility,is_trending,is_high_beta,has_retail_interest,in_bull_regime
1180.SR,The Saudi National Bank,68.0234467017017,GOOD,100.0,53.22802374201656,51.42857142857143,37.27657639209771,100.0,69.76659527723925,90.47963362091038,0.9848068719065758,1.0,,0.22365945835258624,False,False,True,True
4300.SR,Dar Alarkan Real Estate Develo,63.878394726763666,GOOD,85.71428571428571,43.82075492826853,51.42857142857143,74.23826338798958,70.0,72.25738591072566,46.4838842653508,1.0095052592328317,1.0,,0.39889281238642327,False,False,True,False
1060.SR,Saudi Awwal Bank,62.659757787569205,GOOD,85.71428571428571,56.388149333916886,51.42857142857143,27.475027233697457,90.0,64.75751734176734,87.131013459661,1.0032910866794196,1.0,,0.16485016340218472,False,False,True,True
7020.SR,Etihad Etisalat Co.,61.956912907629494,GOOD,85.71428571428571,52.74294903693767,51.42857142857143,31.97268030748792,90.0,58.54874328997151,86.57950593100382,1.0084735834392218,1.0,,0.1918360818449275,False,False,False,True
1150.SR,Alinma Bank,61.59793764867545,GOOD,85.71428571428571,49.97776368256034,51.42857142857143,28.371324406137084,100.0,68.69598842456675,60.970319604294126,1.0215379979146382,1.0,,0.17022794643682249,False,False,True,False
4190.SR,Jarir Marketing Co.,61.24096454728513,GOOD,100.0,42.91722511665952,51.42857142857143,27.549760868856048,70.0,68.72929735108322,87.32822745604419,1.0072776765140523,1.0,,0.1652985652131363,False,False,True,True
1010.SR,Riyad Bank,60.79867007991099,GOOD,85.71428571428571,55.276152242584466,51.42857142857143,29.85854825107466,90.0,60.905797088929916,54.910125125369376,1.0159979750302535,1.0,,0.17915128950644793,False,False,True,False
4280.SR,Kingdom Holding Co.,60.684760337755435,GOOD,100.0,47.1278082283776,51.42857142857143,39.63374462485408,50.0,65.75376812175881,69.06091800923258,0.9957983702404098,1.0,,0.2378024677491245,False,False,True,True
2380.SR,Rabigh Refining and Petrochemi,59.8100441460277,MODERATE,57.14285714285714,59.230756361283085,51.42857142857143,70.56191027762972,70.0,64.9252311038608,43.455950149096424,1.02127293303206,1.0,,0.3131112398113602,False,False,True,False
2222.SR,Saudi Arabian Oil Co.,59.712825640093875,MODERATE,85.71428571428571,41.36289855594668,51.42857142857143,23.303168777579117,100.0,63.1867674702052,83.95044873351449,1.0099308622363221,1.0,,0.1398190126654747,False,False,True,True
7010.SR,Saudi Telecom Co.,59.575714834086384,MODERATE,85.71428571428571,43.66831969327987,51.42857142857143,20.58988974786074,100.0,61.25931386416943,83.9812923652585,1.0313737379140142,1.0,,0.12353933848716443,False,False,True,True
1320.SR,Saudi Steel Pipe Co.,58.37512976898267,MODERATE,57.14285714285714,56.86280409961229,51.42857142857143,70.03737386096783,70.0,64.47800358120611,26.697535950174245,0.9943215740778812,1.0,,0.30087205675591594,False,False,True,False
1140.SR,Bank Albilad,58.16114035773218,MODERATE,71.42857142857143,52.525922912529936,51.42857142857143,35.03964660804492,90.0,64.58065778958654,47.41028867264449,1.0158212829492097,1.0,,0.21023787964826948,False,False,True,False
2050.SR,Savola Group,55.50209256728057,MODERATE,57.14285714285714,57.67886694931974,51.42857142857143,48.29173983954662,70.0,64.4284538394096,31.308542065159088,1.0025060141374673,1.0,,0.2897504390372797,False,False,True,False
1050.SR,Banque Saudi Fransi,55.40923236322969,MODERATE,71.42857142857143,49.684322104996255,51.42857142857143,28.748769774183774,70.0,66.26588478420484,59.24070852507623,1.0208684122198952,1.0,,0.17249261864510262,False,False,True,False
4009.SR,Middle East Healthcare Co.,55.202066884524115,MODERATE,42.857142857142854,56.923582564905665,51.42857142857143,71.64920885578557,70.0,63.913837837862864,16.42884804491997,0.9997563948029377,1.0,,0.33848153996833,False,False,True,False
2010.SR,Saudi Basic Industries Corp.,54.45820806611466,MODERATE,57.14285714285714,43.00478678835061,51.42857142857143,35.41345094460976,100.0,62.38488662754696,51.84917379425324,1.0046985973181493,1.0,,0.21248070566765853,False,False,True,False
1080.SR,Arab National Bank,54.1975324438265,MODERATE,71.42857142857143,43.594493074242735,51.42857142857143,33.73607190991269,70.0,61.96888777810936,52.99811386503078,0.990665390621192,1.0,,0.20241643145947613,False,False,True,False
4003.SR,United Electronics Co.,54.12100084295249,MODERATE,71.42857142857143,51.457355558593726,51.42857142857143,24.45514267559697,70.0,58.04622813165298,55.70413890600653,0.9989312692902962,1.0,,0.14673085605358183,False,False,False,False
3020.SR,Yamama Cement Co.,53.94899630826734,MODERATE,57.14285714285714,47.99719887733111,51.42857142857143,48.23576834728572,70.0,66.43612490433672,35.1258615197774,0.981732370988265,1.0,,0.28941461008371433,False,False,True,False
7030.SR,Mobile Telecommunication Compa,52.973171556377416,MODERATE,71.42857142857143,43.15227791301656,51.42857142857143,24.818166151145597,70.0,65.1071430387951,50.75696351588366,1.012416331380805,1.0,,0.1489089969068736,False,False,True,False
4002.SR,Mouwasat Medical Services Co.,52.287261165251394,MODERATE,57.14285714285714,49.39184349195095,51.42857142857143,37.893885079974204,70.0,57.77363070208042,44.66321840742642,1.017571102670341,1.0,,0.2273633104798452,False,False,False,False
4310.SR,Knowledge Economic City,52.21046832879915,MODERATE,71.42857142857143,41.71835638773377,51.42857142857143,35.30442320048612,50.0,67.2245749219058,45.544950151206685,1.0032875657567157,1.0,,0.2118265392029167,False,False,True,False
