date,cash,positions,total,n_positions,regime,returns
2023-08-30 00:00:00+03:00,413214.50322552444,543211.4573755264,956425.9606010509,15,BEAR,0.004315171724567302
2023-08-31 00:00:00+03:00,413214.50322552444,539722.0415382385,952936.544763763,15,BEAR,-0.003648390969119064
2023-09-03 00:00:00+03:00,413214.50322552444,538046.222524643,951260.7257501674,15,BEAR,-0.0017585840555742749
2023-09-04 00:00:00+03:00,413214.50322552444,535006.5609064102,948221.0641319347,15,BEAR,-0.003195403253756335
2023-09-05 00:00:00+03:00,411735.6911418892,533295.5453290939,945031.2364709831,15,BEAR,-0.003364012656554616
2023-09-06 00:00:00+03:00,411735.6911418892,526146.5466270447,937882.2377689339,15,BEAR,-0.007564827940233609
2023-09-07 00:00:00+03:00,452338.6828062004,482287.3603553772,934626.0431615775,15,BEAR,-0.0034718587006213886
2023-09-10 00:00:00+03:00,452338.6828062004,482287.3603553772,934626.0431615775,15,BEAR,0.0
2023-09-11 00:00:00+03:00,452338.6828062004,490208.3420524597,942547.0248586601,15,BEAR,0.008475027798592105
2023-09-12 00:00:00+03:00,451337.6483896179,485115.2925186157,936452.9409082336,15,BEAR,-0.006465548974959878
2023-09-13 00:00:00+03:00,451337.6483896179,485373.0441837311,936710.692573349,15,BEAR,0.0002752425176488771
2023-09-14 00:00:00+03:00,451337.6483896179,485194.8395547867,936532.4879444046,15,BEAR,-0.00019024511021092927
2023-09-17 00:00:00+03:00,451337.6483896179,483163.0850915909,934500.7334812088,15,BEAR,-0.002169443654491121
2023-09-18 00:00:00+03:00,451337.6483896179,475575.84678554535,926913.4951751633,15,BEAR,-0.008119028732895162
2023-09-19 00:00:00+03:00,451337.6483896179,476162.1452560425,927499.7936456604,15,BEAR,0.0006325277100278637
2023-09-20 00:00:00+03:00,451337.6483896179,479731.7992630005,931069.4476526184,15,BEAR,0.003848684421725812
2023-09-21 00:00:00+03:00,451337.6483896179,473333.9186935425,924671.5670831604,15,BEAR,-0.006871539588790165
2023-09-25 00:00:00+03:00,451337.6483896179,472848.1312198639,924185.7796094818,15,BEAR,-0.0005253621836897038
2023-09-26 00:00:00+03:00,451337.6483896179,473515.5720462799,924853.2204358978,15,BEAR,0.000722193352399314
2023-09-27 00:00:00+03:00,451337.6483896179,478080.51658535004,929418.164974968,15,BEAR,0.004935858402394411
2023-09-28 00:00:00+03:00,451337.6483896179,476771.4966363907,928109.1450260086,15,BEAR,-0.0014084294866290037
2023-10-01 00:00:00+03:00,451337.6483896179,476771.4966363907,928109.1450260086,15,BEAR,0.0
2023-10-02 00:00:00+03:00,451337.6483896179,475762.4454050064,927100.0937946243,15,BEAR,-0.001087211818558309
2023-10-03 00:00:00+03:00,451337.6483896179,473318.39517116547,924656.0435607834,15,BEAR,-0.0026362312442850255
2023-10-04 00:00:00+03:00,451337.6483896179,467633.8334980011,918971.481887619,15,BEAR,-0.006147758090969235
2023-10-05 00:00:00+03:00,451337.6483896179,467432.758020401,918770.4064100189,15,BEAR,-0.0002188049156727212
2023-10-08 00:00:00+03:00,451337.6483896179,459852.04030036926,911189.6886899872,15,BEAR,-0.008250938065857416
2023-10-09 00:00:00+03:00,451337.6483896179,459133.740694046,910471.3890836639,15,BEAR,-0.0007883096299695636
2023-10-10 00:00:00+03:00,451337.6483896179,456829.9824705124,908167.6308601303,15,BEAR,-0.002530291727071421
2023-10-11 00:00:00+03:00,451337.6483896179,449894.36297416687,901232.0113637848,15,BEAR,-0.007636937566005031
2023-10-12 00:00:00+03:00,451337.6483896179,450806.9572439194,902144.6056335373,15,BEAR,0.0010126074731540147
2023-10-15 00:00:00+03:00,451337.6483896179,449988.9104719162,901326.5588615341,15,BEAR,-0.0009067800958901806
2023-10-16 00:00:00+03:00,451337.6483896179,452292.8185272217,903630.4669168396,15,BEAR,0.0025561302201231317
2023-10-17 00:00:00+03:00,451337.6483896179,457805.6806373596,909143.3290269775,15,BEAR,0.00610079264917629
2023-10-18 00:00:00+03:00,451337.6483896179,454891.9763317108,906229.6247213287,15,BEAR,-0.0032048899360755945
2023-10-19 00:00:00+03:00,451337.6483896179,451023.4304189682,902361.0788085861,15,BEAR,-0.004268836294037737
2023-10-22 00:00:00+03:00,476483.8864585604,419320.2236509323,895804.1101094927,15,BEAR,-0.0072664577995216195
2023-10-23 00:00:00+03:00,476483.8864585604,409161.8813076019,885645.7677661623,15,BEAR,-0.011339914863851996
2023-10-24 00:00:00+03:00,476483.8864585604,410308.212849617,886792.0993081774,15,BEAR,0.0012943454186049586
2023-10-25 00:00:00+03:00,476483.8864585604,418089.8385839462,894573.7250425066,15,BEAR,0.008775028262430373
2023-10-26 00:00:00+03:00,476483.8864585604,413173.1679792404,889657.0544378008,15,BEAR,-0.005496104420540826
2023-10-29 00:00:00+03:00,476483.8864585604,415044.70672893524,891528.5931874956,15,BEAR,0.0021036631366651015
2023-10-30 00:00:00+03:00,476483.8864585604,416388.830368042,892872.7168266024,15,BEAR,0.001507661839875496
2023-10-31 00:00:00+03:00,476483.8864585604,420491.57141304016,896975.4578716005,15,BEAR,0.004594989820699169
2023-11-01 00:00:00+03:00,476483.8864585604,425620.8214454651,902104.7079040254,15,BULL,0.005718383917209913
2023-11-02 00:00:00+03:00,476483.8864585604,427461.7192363739,903945.6056949343,15,BULL,0.002040669752390478
2023-11-05 00:00:00+03:00,476483.8864585604,433598.9517812729,910082.8382398332,15,BULL,0.006789382575935976
2023-11-06 00:00:00+03:00,476483.8864585604,432774.24592876434,909258.1323873247,15,BULL,-0.0009061876763917232
2023-11-07 00:00:00+03:00,476483.8864585604,430682.10823345184,907165.9946920122,15,BULL,-0.0023009282191619462
2023-11-08 00:00:00+03:00,476483.8864585604,429657.5441198349,906141.4305783953,15,BULL,-0.0011294119484326348
2023-11-09 00:00:00+03:00,476483.8864585604,427851.5700330734,904335.4564916338,15,BULL,-0.0019930377596891757
2023-11-12 00:00:00+03:00,456869.3606457968,445747.1360530853,902616.4966988822,15,BULL,-0.0019007988467247827
2023-11-13 00:00:00+03:00,415438.3289392625,485688.51622486115,901126.8451641237,15,BULL,-0.0016503703845504036
2023-11-14 00:00:00+03:00,415438.3289392625,487980.52212524414,903418.8510645067,15,BULL,0.002543488647223091
