ticker,name,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
1060.SR,Saudi Awwal Bank,2022-02-13 00:00:00+03:00,2022-02-27 00:00:00+03:00,32.81576258506997,32.75019086633554,1523,-149.74426832196932,-0.00199817750888609,11,stop_loss
7010.SR,STC,2022-02-27 00:00:00+03:00,2022-03-21 00:00:00+03:00,35.82069351735376,34.6067091232479,1266,-1580.716336688047,-0.03389058878823015,21,stop_loss
4310.SR,Emaar EC,2022-02-20 00:00:00+03:00,2022-03-22 00:00:00+03:00,17.87786061096191,16.723259771347045,2656,-3111.0368079697796,-0.0645827185220873,29,stop_loss
1304.SR,Yamamah Steel,2022-02-27 00:00:00+03:00,2022-03-22 00:00:00+03:00,39.55448765945434,38.60892424803911,1089,-1071.763673537299,-0.02390533836656128,22,stop_loss
4009.SR,ME Healthcare,2022-02-23 00:00:00+03:00,2022-04-03 00:00:00+03:00,31.656148645691864,32.13760642870857,1425,640.2812516378995,0.015208981623297646,36,stop_loss
1080.SR,Arab National Bank,2022-03-20 00:00:00+03:00,2022-04-28 00:00:00+03:00,16.45706443806438,22.150854093426705,2244,12727.157470047412,0.3459784505791246,38,take_profit
1180.SR,Al Rajhi Bank,2022-03-02 00:00:00+03:00,2022-05-09 00:00:00+03:00,42.79466851984883,51.12895998048468,956,7918.7033506265325,0.19475069556316993,67,time_exit
2010.SR,SABIC,2022-04-26 00:00:00+03:00,2022-05-12 00:00:00+03:00,104.2641727287688,106.44009966101528,379,784.3355095498923,0.020869363610709346,15,stop_loss
2280.SR,Almarai,2022-03-13 00:00:00+03:00,2022-05-15 00:00:00+03:00,46.078428226608736,49.80244894071507,843,3097.365997534614,0.0808191784622514,60,time_exit
1320.SR,Saudi Steel Pipe,2022-04-14 00:00:00+03:00,2022-05-15 00:00:00+03:00,21.709992553657653,21.998814103628227,2021,539.2487491870982,0.01330362270999097,28,stop_loss
8210.SR,Bupa Arabia,2022-04-20 00:00:00+03:00,2022-05-15 00:00:00+03:00,124.25195335539837,115.20910989182659,335,-3067.94761211031,-0.07277828009437004,22,stop_loss
2380.SR,Petro Rabigh,2022-04-26 00:00:00+03:00,2022-05-15 00:00:00+03:00,18.229795675277707,20.537518781661987,2064,4720.751052811805,0.12659072803069837,16,stop_loss
1010.SR,Riyad Bank,2022-05-15 00:00:00+03:00,2022-05-18 00:00:00+03:00,30.46584807822611,29.689069358825684,1467,-1183.0882461098217,-0.025496704290191352,2,stop_loss
4190.SR,Jarir Marketing,2022-05-10 00:00:00+03:00,2022-05-23 00:00:00+03:00,15.179305248600619,14.277450209779786,2679,-2454.3189381130096,-0.05941345957872313,12,stop_loss
8210.SR,Bupa Arabia,2022-05-15 00:00:00+03:00,2022-05-24 00:00:00+03:00,115.43975876047888,113.30361422431669,368,-827.7969193422351,-0.018504409218269346,8,stop_loss
1140.SR,Bank Albilad,2022-05-18 00:00:00+03:00,2022-06-02 00:00:00+03:00,28.867927528381344,30.293362913131713,1399,1951.8036885502945,0.049377821921887444,14,stop_loss
1211.SR,Maaden,2022-05-11 00:00:00+03:00,2022-06-05 00:00:00+03:00,41.70833078765869,39.02759898376465,926,-2518.497207064848,-0.06427329392638403,22,stop_loss
1150.SR,Alinma Bank,2022-05-15 00:00:00+03:00,2022-06-05 00:00:00+03:00,26.482405733108518,26.00549339701834,1777,-893.6849829987453,-0.01800864849275896,18,stop_loss
1010.SR,Riyad Bank,2022-05-18 00:00:00+03:00,2022-06-05 00:00:00+03:00,29.748506935119625,30.91032193565369,1429,1616.0627857171312,0.039054565093567195,15,stop_loss
4190.SR,Jarir Marketing,2022-05-24 00:00:00+03:00,2022-06-13 00:00:00+03:00,13.65204425481781,12.319401745608724,2963,-3985.122142158759,-0.09761486883100279,19,stop_loss
7020.SR,Mobily,2022-05-22 00:00:00+03:00,2022-06-14 00:00:00+03:00,33.18626136221696,31.997936510886806,1156,-1410.6931427442437,-0.03580773496477907,22,stop_loss
1304.SR,Yamamah Steel,2022-05-25 00:00:00+03:00,2022-06-14 00:00:00+03:00,35.40609438231667,34.56510150598367,1085,-949.9804059552943,-0.02375277169099521,19,stop_loss
1180.SR,Al Rajhi Bank,2022-05-26 00:00:00+03:00,2022-06-14 00:00:00+03:00,44.07681853722183,42.96872773676545,828,-953.0772893439253,-0.02513999052632676,18,stop_loss
2010.SR,SABIC,2022-05-26 00:00:00+03:00,2022-06-14 00:00:00+03:00,97.0970712691071,92.30485882384711,339,-1655.8513660844214,-0.04935486088945207,18,stop_loss
1321.SR,East Pipes,2022-05-30 00:00:00+03:00,2022-06-14 00:00:00+03:00,46.24862170028686,43.73998543502338,676,-1725.4063454721904,-0.05424240059564678,14,stop_loss
3020.SR,Yamama Cement,2022-05-26 00:00:00+03:00,2022-06-19 00:00:00+03:00,28.27900538319329,26.530066515019506,1226,-2176.7249139284736,-0.061845840915367156,21,stop_loss
7010.SR,STC,2022-05-31 00:00:00+03:00,2022-06-20 00:00:00+03:00,33.44389852688711,31.80751621039582,889,-1483.0207612717982,-0.048929173588292185,19,stop_loss
1322.SR,Almasane Mining,2022-06-15 00:00:00+03:00,2022-06-20 00:00:00+03:00,54.22580260584446,50.95731557570043,706,-2343.5277080781298,-0.06027549382536479,4,stop_loss
7020.SR,Mobily,2022-06-15 00:00:00+03:00,2022-06-23 00:00:00+03:00,30.945629046852776,30.928367831660807,1520,-73.2481661959168,-0.000557791705117161,7,stop_loss
4310.SR,Emaar EC,2022-06-15 00:00:00+03:00,2022-06-26 00:00:00+03:00,13.113100381851195,12.56741992378235,3075,-1716.6122248273318,-0.04161338220395838,8,stop_loss
4190.SR,Jarir Marketing,2022-06-15 00:00:00+03:00,2022-07-14 00:00:00+03:00,12.344063889902158,12.498889951074984,3439,489.4631418316042,0.012542551833313098,28,stop_loss
4310.SR,Emaar EC,2022-06-26 00:00:00+03:00,2022-07-14 00:00:00+03:00,12.59257992362976,11.868120114326477,3450,-2540.3313564907544,-0.05753068979485665,17,stop_loss
1320.SR,Saudi Steel Pipe,2022-06-15 00:00:00+03:00,2022-07-17 00:00:00+03:00,18.732728699466314,17.809441633071632,2385,-2244.515171646192,-0.04928737725331955,29,stop_loss
1304.SR,Yamamah Steel,2022-06-28 00:00:00+03:00,2022-07-17 00:00:00+03:00,31.509544088956147,30.85604162979126,1309,-895.8252775402339,-0.020739825918139387,16,stop_loss
1211.SR,Maaden,2022-07-03 00:00:00+03:00,2022-08-14 00:00:00+03:00,33.50013384246826,47.28599872970581,1111,15263.561145132215,0.4115167107112019,39,take_profit
4300.SR,Dar Al Arkan,2022-07-06 00:00:00+03:00,2022-08-18 00:00:00+03:00,10.910899618148802,14.285700190544128,3243,10898.14973056011,0.30930543681126,42,take_profit
3020.SR,Yamama Cement,2022-06-22 00:00:00+03:00,2022-08-22 00:00:00+03:00,24.74985846822402,27.673603633168742,1665,4821.959149583738,0.11813179330695878,60,stop_loss
1321.SR,East Pipes,2022-06-28 00:00:00+03:00,2022-08-29 00:00:00+03:00,39.10957312315551,47.08553525695596,1002,7944.734351740574,0.20393886961343832,61,time_exit
2050.SR,Savola,2022-07-19 00:00:00+03:00,2022-08-29 00:00:00+03:00,18.318548400867275,19.095771978246635,2175,1648.9279767474209,0.04242822959392156,40,stop_loss
4190.SR,Jarir Marketing,2022-07-19 00:00:00+03:00,2022-09-01 00:00:00+03:00,11.771820970485265,14.16625521464228,3563,8480.894844601673,0.2034038956386124,43,stop_loss
4009.SR,ME Healthcare,2022-08-25 00:00:00+03:00,2022-09-07 00:00:00+03:00,33.04544503541762,31.147233767484583,1364,-2631.6449963195146,-0.05744244829805023,12,stop_loss
1180.SR,Al Rajhi Bank,2022-09-01 00:00:00+03:00,2022-09-11 00:00:00+03:00,45.067866733103266,43.35758620573552,1052,-1844.8272954792997,-0.03794900116964062,7,stop_loss
1050.SR,Banque Saudi Fransi,2022-09-01 00:00:00+03:00,2022-09-11 00:00:00+03:00,20.129208308216704,19.57860115432861,2126,-1212.2149152201916,-0.027353641805343054,7,stop_loss
1010.SR,Riyad Bank,2022-09-01 00:00:00+03:00,2022-09-15 00:00:00+03:00,30.375594729575553,28.222745064612603,1483,-3234.5303840708757,-0.07087432144552552,13,stop_loss
1180.SR,Al Rajhi Bank,2022-09-11 00:00:00+03:00,2022-09-19 00:00:00+03:00,43.44438818012138,41.54292179140524,908,-1764.252453940849,-0.04376782522135236,7,stop_loss
1050.SR,Banque Saudi Fransi,2022-09-11 00:00:00+03:00,2022-09-19 00:00:00+03:00,19.617797553035974,18.35366390790368,1912,-2452.115734884857,-0.06443810227497537,7,stop_loss
7020.SR,Mobily,2022-08-31 00:00:00+03:00,2022-09-20 00:00:00+03:00,33.62490645415149,32.30988925837363,1405,-1892.9945544759116,-0.03910842689096916,19,stop_loss
1060.SR,Saudi Awwal Bank,2022-09-01 00:00:00+03:00,2022-09-20 00:00:00+03:00,33.69594270447111,32.903124802954075,1206,-995.8195577419043,-0.02352858646723166,18,stop_loss
4009.SR,ME Healthcare,2022-09-07 00:00:00+03:00,2022-09-20 00:00:00+03:00,31.209590591843906,28.671299817581524,1184,-3039.2830957106767,-0.0813304732977087,12,stop_loss
2380.SR,Petro Rabigh,2022-09-14 00:00:00+03:00,2022-09-20 00:00:00+03:00,15.79577973270416,14.345639657020568,2142,-3136.9284022595925,-0.0918055392150835,5,stop_loss
1304.SR,Yamamah Steel,2022-09-18 00:00:00+03:00,2022-09-20 00:00:00+03:00,30.079532079624478,27.804885877656396,927,-2134.372158432999,-0.07562106338445673,1,stop_loss
2222.SR,Saudi Aramco,2022-09-01 00:00:00+03:00,2022-09-26 00:00:00+03:00,28.670664443448377,26.705823140625107,1279,-2547.1887741078226,-0.0685314184712682,24,stop_loss
4310.SR,Emaar EC,2022-09-18 00:00:00+03:00,2022-09-26 00:00:00+03:00,13.012999999999998,11.868120114326477,2256,-2609.623501057385,-0.08797970380953835,7,stop_loss
4009.SR,ME Healthcare,2022-09-20 00:00:00+03:00,2022-09-26 00:00:00+03:00,28.728699817216317,26.74007336502403,1115,-2247.1336759964,-0.06922089982647095,5,stop_loss
1010.SR,Riyad Bank,2022-09-18 00:00:00+03:00,2022-09-27 00:00:00+03:00,28.493160746959944,25.874410167952508,1141,-3017.517112649118,-0.09190804074928194,8,stop_loss
4190.SR,Jarir Marketing,2022-09-18 00:00:00+03:00,2022-09-27 00:00:00+03:00,13.617598267720219,13.261328579770048,2269,-838.4658765064357,-0.02616244663309597,8,stop_loss
1050.SR,Banque Saudi Fransi,2022-09-20 00:00:00+03:00,2022-09-27 00:00:00+03:00,17.83807957946382,16.414174807544587,2096,-3018.908512339325,-0.07982388269858998,6,stop_loss
1080.SR,Arab National Bank,2022-09-01 00:00:00+03:00,2022-09-28 00:00:00+03:00,19.06449501723955,19.343507943668353,2025,525.8305724323955,0.014635212009366017,26,stop_loss
2280.SR,Almarai,2022-09-11 00:00:00+03:00,2022-10-10 00:00:00+03:00,48.858577532392644,50.27585867623949,729,996.5468528893698,0.029007826576760376,28,stop_loss
1050.SR,Banque Saudi Fransi,2022-09-27 00:00:00+03:00,2022-10-10 00:00:00+03:00,16.4470360183705,16.659164709063035,1988,388.59341765514057,0.012897685057392527,12,stop_loss
1180.SR,Al Rajhi Bank,2022-09-27 00:00:00+03:00,2022-10-12 00:00:00+03:00,39.74284436984786,39.92267938281058,960,134.31584023671257,0.004524965835086547,14,stop_loss
