sl_atr,tp_pct,max_days,trail_pct,return,sharpe,win_rate,pf,max_dd,trades,stop_rate,tp_rate,time_rate,avg_hold,score
2.0,0.1,10,0.03,-0.012000192257936027,-0.14987259553664925,0.4504950495049505,0.9818419325483639,0.03668355926622533,202,0.4158415841584158,0.04455445544554455,0.5396039603960396,8.876237623762377,0.10062583248473767
2.0,0.1,10,0.05,0.0012475289487750008,0.025446384748021276,0.4690721649484536,1.0683429805690126,0.03459667163546467,194,0.25257731958762886,0.05154639175257732,0.6958762886597938,9.577319587628866,0.12618546420633026
2.0,0.1,10,0.07,0.004163731190783615,0.06234554790437292,0.47643979057591623,1.0889508730225776,0.03318113145763813,191,0.2198952879581152,0.05235602094240838,0.7277486910994765,9.664921465968586,0.13225492080665774
2.0,0.1,10,0.1,0.0007590271434465556,0.0193758915960681,0.47368421052631576,1.0651097451192015,0.03646061150538666,190,0.20526315789473684,0.05263157894736842,0.7421052631578947,9.7,0.12606492156199117
2.0,0.1,20,0.03,0.008069582447149282,0.09740421161024244,0.3838383838383838,1.0945587662363636,0.04344232017860045,198,0.6616161616161617,0.10606060606060606,0.23232323232323232,12.363636363636363,0.12283684473720366
2.0,0.1,20,0.05,0.022582667585072436,0.23549365803369895,0.43010752688172044,1.1628405128522425,0.0474684150328803,186,0.489247311827957,0.12903225806451613,0.3817204301075269,14.74731182795699,0.14935324606142658
2.0,0.1,20,0.07,0.0258091178792903,0.26814150029687933,0.4371584699453552,1.1773029110370583,0.044447088088996466,183,0.4207650273224044,0.13114754098360656,0.44808743169398907,15.311475409836065,0.15487317571763826
2.0,0.1,20,0.1,0.024917651932924834,0.25590143522474523,0.45,1.1714578789633023,0.04456273344038359,180,0.3888888888888889,0.12777777777777777,0.48333333333333334,15.63888888888889,0.15523256236319094
2.0,0.1,30,0.03,0.011267423523503739,0.1291904769541046,0.38071065989847713,1.1096321537457297,0.042492028100114064,197,0.7715736040609137,0.1218274111675127,0.1065989847715736,13.939086294416244,0.1267844618530174
2.0,0.1,30,0.05,0.020959134267913626,0.21226379726674285,0.41621621621621624,1.1433766003940842,0.04596139793409649,185,0.6216216216216216,0.15675675675675677,0.22162162162162163,17.913513513513514,0.1439047009543078
2.0,0.1,30,0.07,0.03109057088004974,0.3018590674178786,0.4388888888888889,1.19157112927046,0.03699449648838684,180,0.5166666666666667,0.17222222222222222,0.3111111111111111,19.32777777777778,0.16048754820521713
