ticker,name,score,recommendation
4001.SR,Abdullah Al Othaim Markets Co.,48.535295470410105,MODERATE
8200.SR,Saudi Reinsurance Co.,48.32835813610932,MODERATE
2001.SR,Methanol Chemicals Co.,48.3088921283927,MODERATE
2310.SR,Sahara International Petrochemi,48.2590355560134,MODERATE
3060.SR,Yanbu Cement Co.,48.23116173507161,MODERATE
2190.SR,Sustained Infrastructure Holdin,48.1649771429782,MODERATE
4080.SR,Sinad Holding Co.,48.13602682564995,MODERATE
7040.SR,Etihad GO Telecom Co.,48.022194073924155,MODERATE
7204.SR,Perfect Presentation for Commer,47.89353100643872,MODERATE
8250.SR,Gulf Insurance Group,47.83748995497694,MODERATE
6014.SR,Alamar Foods Co.,47.820545523349985,MODERATE
7203.SR,Elm Co,47.77329722932741,MODERATE
4180.SR,Fitaihi Holding Group,47.77013026986664,MODERATE
8170.SR,Al-Etihad Cooperative Insurance,47.637395403374896,MODERATE
8260.SR,Gulf General Cooperative Insura,47.62993827182175,MODERATE
4292.SR,Ataa Educational Co.,47.57901281403404,MODERATE
2160.SR,Saudi Arabian Amiantit Co.,47.52928859047307,MODERATE
6010.SR,National Agricultural Developme,47.50448843268243,MODERATE
1213.SR,Naseej International Trading Co,46.99269284934819,MODERATE
3002.SR,Najran Cement Co.,46.87991579679006,MODERATE
2130.SR,Saudi Industrial Development Co,46.868058459795066,MODERATE
1301.SR,United Wire Factories Co.,46.84266154749546,MODERATE
6002.SR,Herfy Food Services Co.,46.83279155862851,MODERATE
4160.SR,Thimar Development Holding Co.,46.79112908309361,MODERATE
2280.SR,Almarai Co.,46.6806221345329,MODERATE
4004.SR,Dallah Healthcare Co.,46.6280770489148,MODERATE
2340.SR,ARTEX Industrial Investment Co.,46.53245836655903,MODERATE
4230.SR,Red Sea International Co.,46.51433337379296,MODERATE
2180.SR,Filing and Packing Materials Ma,46.466396485678565,MODERATE
8150.SR,Allied Cooperative Insurance Gr,45.66680067797725,MODERATE
2170.SR,Alujain Corp.,45.44126700794827,MODERATE
4260.SR,United International Transporta,45.391699464548864,MODERATE
1210.SR,Basic Chemical Industries Co.,45.381816428073826,MODERATE
6012.SR,Raydan Food Co.,45.26460770264762,MODERATE
4150.SR,Arriyadh Development Co.,45.247384623094746,MODERATE
3080.SR,Eastern Province Cement Co.,45.23381705695905,MODERATE
4070.SR,"Tihama Advertising\, Public Rel",45.12420040680758,MODERATE
3030.SR,Saudi Cement Co.,45.052563484023196,MODERATE
8040.SR,Mutakamela Insurance Co.,45.04092438989085,MODERATE
3050.SR,Southern Province Cement Co.,44.927829163101336,POOR
4261.SR,Theeb Rent a Car Co.,44.90656560754363,POOR
6040.SR,Tabuk Agricultural Development ,44.87121010529015,POOR
3003.SR,City Cement Co.,44.842148529370974,POOR
4291.SR,National Company for Learning a,44.82763022282146,POOR
8160.SR,Arabia Insurance Cooperative Co,44.82040212126026,POOR
2270.SR,Saudia Dairy and Foodstuff Co.,44.782065553551355,POOR
6060.SR,Ash-Sharqiyah Development Co.,44.63009321089136,POOR
6013.SR,Development Works Food Co.,44.62162640702196,POOR
4210.SR,Saudi Research and Media Group,44.61946816870331,POOR
1302.SR,Bawan Co.,44.61243438842741,POOR
4200.SR,Aldrees Petroleum and Transport,44.511979696384316,POOR
2090.SR,National Gypsum Co.,44.36176868201911,POOR
7201.SR,Arab Sea Information System Co.,44.07629933168189,POOR
4220.SR,Emaar The Economic City,43.93422030599248,POOR
4262.SR,Lumi Rental Co.,43.92960281361111,POOR
1214.SR,Al Hassan Ghazi Ibrahim Shaker ,43.80439006209744,POOR
6001.SR,Halwani Bros. Co.,43.80068492086664,POOR
2210.SR,Nama Chemicals Co.,43.26812370890661,POOR
3005.SR,Umm Al-Qura Cement Co.,43.19429625304983,POOR
4050.SR,Saudi Automotive Services Co.,42.95931219987552,POOR
6020.SR,Al Gassim Investment Holding Co,42.920092569088155,POOR
2083.SR,The Power and Water Utility Com,42.809042256983474,POOR
4320.SR,Alandalus Property Co.,42.643988371919534,POOR
2330.SR,Advanced Petrochemical Co.,42.501373525662466,POOR
6015.SR,Americana Restaurants Internati,42.39901994899269,POOR
4014.SR,Scientific and Medical Equipmen,42.26933418464151,POOR
2290.SR,Yanbu National Petrochemical Co,42.170047408786616,POOR
3004.SR,Northern Region Cement Co.,41.35016606385757,POOR
3010.SR,Arabian Cement Co.,41.16559294430993,POOR
4006.SR,Saudi Marketing Co.,38.683014886938906,POOR
3090.SR,Tabuk Cement Co.,38.52735767276786,POOR
3091.SR,Al Jouf Cement Co.,38.105920776719685,POOR
