Date,close,high,low,open,volume,vix,oil,sp500,twitter_volume,sentiment_score,google_trends
2020-01-02,208.71446228027344,208.9138901038073,205.64693717191028,205.70393104125768,15873500,12.470000267028809,61.18000030517578,3257.85009765625,1049,0.0,
2020-01-03,206.0838165283203,207.22630240410257,205.1436132545173,205.4665205702207,8604500,14.020000457763672,63.04999923706055,3234.85009765625,986,0.1543243528272189,34.97670364768388
2020-01-06,205.74192810058594,206.2357735674345,203.32020290667376,204.07996181924173,11885500,13.850000381469727,63.27000045776367,3246.280029296875,1064,0.0900069753658696,16.545628312406027
2020-01-07,206.68212890625,207.9262270462006,205.78941328152936,206.69162063948474,9388000,13.789999961853027,62.70000076293945,3237.179931640625,1152,-0.030955465499618487,19.507169365463984
2020-01-08,207.03350830078125,209.55019423364737,205.43802766965,205.70394110817188,11959100,13.449999809265137,59.61000061035156,3253.050048828125,976,-0.013771294258536244,21.871992998122664
2020-01-09,210.6233673095703,211.8579737744501,209.7116681754289,210.3574538545127,13122500,12.539999961853027,59.560001373291016,3274.699951171875,976,-0.1709460768838954,22.659005971953462
2020-01-10,212.5702362060547,214.59309121814218,210.89022839675087,212.6367073214513,12296000,12.5600004196167,59.040000915527344,3265.35009765625,1157,-0.07504818410009945,22.643279498879878
2020-01-13,218.8856964111328,219.51249858005286,215.61874333927784,217.29970752276512,17544800,12.319999694824219,58.08000183105469,3288.1298828125,1076,-0.011188558855532132,36.44226274835918
2020-01-14,215.096435546875,218.59605946240524,213.56742594770589,218.4773475820076,17266900,12.390000343322754,58.22999954223633,3283.14990234375,953,-0.09024319190004493,26.99149624719967
2020-01-15,213.7383575439453,216.35952505709415,213.102063623474,215.24836913840093,10743400,12.420000076293945,57.810001373291016,3289.2900390625,1054,-0.24919892604115101,22.689970652522792
2020-01-16,212.67469787597656,214.94446831705818,211.52556056466955,214.91597862672123,13700500,12.319999694824219,58.52000045776367,3316.81005859375,953,-0.2117339625299895,19.841567756229374
2020-01-17,215.9891357421875,216.53046887013704,214.01378281351967,214.53610349195992,12956200,12.100000381469727,58.540000915527344,3329.6201171875,953,-0.22919419902001725,20.219919700541713
2020-01-21,211.07920837402344,211.40211569175455,209.62617616341896,211.25965274508602,15831100,12.850000381469727,58.34000015258789,3320.7900390625,1024,-0.4235463414785294,32.97411035671489
2020-01-22,211.1836700439453,214.2321973344322,210.83228753523582,213.38696937396125,10059600,12.90999984741211,56.7400016784668,3321.75,808,-0.640603007145037,29.022111970165863
2020-01-23,208.10667419433594,209.05636921353528,205.8653933693776,206.96702857833992,18519900,12.979999542236328,55.59000015258789,3325.5400390625,827,-0.5992478302774751,27.377126006469616
2020-01-24,202.997314453125,208.7714620254019,200.69430108682104,207.49887415186353,18143900,14.5600004196167,54.189998626708984,3295.469970703125,943,-0.4056770410943724,33.40213961268489
2020-01-27,195.1338348388672,197.55556001229448,189.4641544706016,191.09763104688693,24574700,18.229999542236328,53.13999938964844,3243.6298828125,1056,-0.3101919719015511,42.83204639608971
