ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,net_pnl,pnl_pct,holding_days,exit_reason
4190.SR,Retail,2022-06-01 00:00:00+03:00,2022-06-13 00:00:00+03:00,13.276000090162649,12.319400781394114,2548,-2468.804871933219,-0.07205478323831616,11,stop_loss
2010.SR,Materials,2022-06-01 00:00:00+03:00,2022-06-13 00:00:00+03:00,97.43836880718149,94.00789931970797,350,-1233.5670853776285,-0.03520655702131048,11,stop_loss
8010.SR,Insurance,2022-05-31 00:00:00+03:00,2022-06-14 00:00:00+03:00,49.62341201619259,48.63266612837467,581,-603.8789398427947,-0.019965291534057017,13,stop_loss
3020.SR,Materials,2022-05-30 00:00:00+03:00,2022-06-15 00:00:00+03:00,27.454008170386924,27.536379980510265,1157,63.44459267525521,0.0030003564365581603,15,time_exit
7010.SR,Telecom,2022-06-01 00:00:00+03:00,2022-06-15 00:00:00+03:00,33.05874726286106,32.8004990982557,1013,-294.83229633176495,-0.007811795242933628,13,stop_loss
4310.SR,Real Estate,2022-06-15 00:00:00+03:00,2022-06-20 00:00:00+03:00,13.113100381851195,12.687299809455872,1809,-793.2245608184447,-0.03247138815353234,4,stop_loss
7020.SR,Telecom,2022-06-15 00:00:00+03:00,2022-06-23 00:00:00+03:00,30.945629046852776,30.928367831660807,916,-44.14165804964459,-0.000557791705117161,7,stop_loss
4190.SR,Retail,2022-06-15 00:00:00+03:00,2022-06-30 00:00:00+03:00,12.344064796498595,13.461595671831875,2903,3205.113118857184,0.09053183807413823,14,take_profit
1303.SR,Industrial,2022-06-20 00:00:00+03:00,2022-06-30 00:00:00+03:00,0.7949668086574105,0.8554062416628354,34990,2084.8450964640338,0.07602761819389503,9,take_profit
1320.SR,Industrial,2022-06-15 00:00:00+03:00,2022-07-01 00:00:00+03:00,18.732728699466314,18.842943157196046,1801,164.56009774513794,0.0058835239381260784,15,time_exit
4310.SR,Real Estate,2022-06-24 00:00:00+03:00,2022-07-05 00:00:00+03:00,12.59257992362976,12.187799809455871,1582,-659.6432399216511,-0.032144335523678125,10,stop_loss
2010.SR,Materials,2022-06-27 00:00:00+03:00,2022-07-05 00:00:00+03:00,87.02901325283165,85.15209320308999,358,-702.4218271742192,-0.021566601522746587,7,stop_loss
3020.SR,Materials,2022-06-22 00:00:00+03:00,2022-07-14 00:00:00+03:00,24.74985846822402,22.852452231574524,1285,-2467.532415212174,-0.07666331664423642,21,time_exit
1180.SR,Banking,2022-06-27 00:00:00+03:00,2022-07-14 00:00:00+03:00,41.010604644775384,43.357583791620904,546,1257.777373427429,0.05722859165756078,16,time_exit
7010.SR,Telecom,2022-07-01 00:00:00+03:00,2022-07-18 00:00:00+03:00,31.453954832530908,32.480188764095644,773,768.171643184895,0.03262654686918309,16,time_exit
4190.SR,Retail,2022-07-19 00:00:00+03:00,2022-07-28 00:00:00+03:00,11.771821927772386,13.004718036683633,2423,2955.796840089066,0.10473282015951724,8,take_profit
2050.SR,Food,2022-07-19 00:00:00+03:00,2022-08-04 00:00:00+03:00,18.318548400867275,19.12483744207198,1498,1179.1719772364215,0.04401489810003345,15,time_exit
4250.SR,Real Estate,2022-08-12 00:00:00+03:00,2022-08-25 00:00:00+03:00,23.363340152740477,22.937039085388182,1715,-770.4433525406265,-0.01824658052167638,12,stop_loss
1180.SR,Banking,2022-09-01 00:00:00+03:00,2022-09-09 00:00:00+03:00,45.067866733103266,43.3575824005409,820,-1437.9863702695843,-0.03794908560218424,7,stop_loss
1050.SR,Banking,2022-09-01 00:00:00+03:00,2022-09-09 00:00:00+03:00,20.129210188805224,19.578603098284194,1764,-1005.8075635444703,-0.027353636101790424,7,stop_loss
1010.SR,Banking,2022-09-01 00:00:00+03:00,2022-09-14 00:00:00+03:00,30.375594729575553,28.47892816839198,1072,-2063.7559645853057,-0.062440474929594036,12,stop_loss
1050.SR,Banking,2022-09-09 00:00:00+03:00,2022-09-15 00:00:00+03:00,19.617799500883358,19.333612558816835,1626,-493.52442182080193,-0.014486178332780208,5,stop_loss
7020.SR,Telecom,2022-08-31 00:00:00+03:00,2022-09-16 00:00:00+03:00,33.62490252609173,33.24575961044598,1190,-490.7425235548745,-0.011275658430579871,15,time_exit
1304.SR,Industrial,2022-09-01 00:00:00+03:00,2022-09-19 00:00:00+03:00,32.59437719435602,28.297006900651112,1112,-4810.142038273382,-0.13184391492067016,17,stop_loss
1080.SR,Banking,2022-09-01 00:00:00+03:00,2022-09-19 00:00:00+03:00,19.064493111160402,19.660618814917935,1788,1030.7195718773955,0.03126889869463989,17,time_exit
1060.SR,Banking,2022-09-01 00:00:00+03:00,2022-09-19 00:00:00+03:00,33.69594270447111,33.54326570872078,932,-173.5572836798318,-0.00453102016136997,17,time_exit
2082.SR,Utilities,2022-09-08 00:00:00+03:00,2022-09-19 00:00:00+03:00,163.43822780966104,145.67081569294388,162,-2901.919435050438,-0.10871025925103006,10,stop_loss
1180.SR,Banking,2022-09-09 00:00:00+03:00,2022-09-19 00:00:00+03:00,43.44438436730874,41.54292179140524,704,-1367.8758703772141,-0.043767741299479024,9,stop_loss
1050.SR,Banking,2022-09-15 00:00:00+03:00,2022-09-20 00:00:00+03:00,19.372318489865513,17.802437096822807,1205,-1913.1590153181328,-0.08103735202701623,4,stop_loss
1322.SR,Industrial,2022-09-15 00:00:00+03:00,2022-09-21 00:00:00+03:00,55.97132249352987,53.63589771054048,547,-1306.8161923428593,-0.041725381480120505,5,stop_loss
4310.SR,Real Estate,2022-09-16 00:00:00+03:00,2022-09-26 00:00:00+03:00,13.012999999999998,11.868120114326477,2051,-2372.490159870876,-0.08797970380953835,9,stop_loss
2222.SR,Energy,2022-09-16 00:00:00+03:00,2022-09-27 00:00:00+03:00,27.98256827367554,26.05725476901972,1075,-2097.723566381701,-0.0688040313464382,10,stop_loss
