day,avg_return,std_return,cumulative_return,n_events
-10,-0.0061208309650579665,0.01716730249591665,-0.0061208309650579995,10
-9,-0.00964721858221398,0.023380255255137358,-0.015709000553047248,10
-8,0.00518036649614424,0.01442268842893319,-0.010610012437055838,10
-7,0.00034998264404989543,0.025540635398000375,-0.010263743113212098,10
-6,-0.00046186152204332755,0.016654796132710068,-0.010720864207239278,10
-5,0.015597240197748274,0.032242779643534676,0.004709160096341147,10
-4,-0.007016344519865681,0.02479017813621548,-0.0023402255131595995,10
-3,-0.0008819868128394859,0.037844446557104935,-0.0032201482779573576,10
-2,-0.006674558642752992,0.03473108695346024,-0.009873213852190754,10
-1,-0.00574925307529669,0.021164020542496473,-0.015565703322384716,10
0,0.026113197661926723,0.15382438979275115,0.010141024051937508,10
1,-0.008319140682186244,0.038686687233030835,0.0017375187640018552,10
2,0.012793762327594793,0.062445521186034955,0.014553510493703126,10
3,-0.00022085738946422406,0.03424061941945193,0.014329438853903698,10
4,0.013700547532649354,0.04032633412793421,0.028226307544687135,10
5,0.00812991973198498,0.03234796759594826,0.03658570489134094,10
6,0.004501167324747734,0.030004165747180407,0.041251550595498454,10
7,-0.010131093032273119,0.019517234265403787,0.030702534266416892,10
8,2.4773473128636426e-05,0.0348100090961508,0.030728068347953164,10
9,0.022191849692331067,0.03126104579009361,0.053601830714397725,10
10,-0.020051830510716538,0.03381664358552444,0.032475185379131855,10
11,0.008727810534932833,0.04418938880819728,0.04148643317914069,10
12,-0.00554244623291632,0.028008993834560323,0.03571405062093347,10
13,0.015225368140702045,0.035108116194083695,0.05148317833013483,10
14,-0.006177823439576724,0.020056780750348897,0.04498730090472636,10
15,-0.010210737640407742,0.02017580381860326,0.03431720973763053,10
16,0.004219401085917496,0.03910468054523182,0.03868140889558069,10
17,0.010619641295116378,0.031571277234058996,0.04971183287795777,10
18,0.002681095306895598,0.03272764701817758,0.0525262103466797,10
19,-0.00205647252535075,0.037130845719010486,0.050361719112890224,10
20,-0.001392850210277563,0.027280131835331307,0.04889872257155625,10
