day,avg_return,std_return,cumulative_return,n_events
-10,0.004584172915364571,0.0038165124511093623,0.004584172915364615,5
-9,0.0042924953705731905,0.0071738584469114445,0.008896345826954866,5
-8,-0.003405029006345317,0.009849620573373085,0.005461024505018397,5
-7,-0.003098898796673333,0.005853542955627048,0.0023452025460777293,5
-6,0.0009597308775800562,0.005330539947175768,0.003307184186955636,5
-5,-0.002930032401062621,0.009280698608637972,0.00036746162906897695,5
-4,0.0002811798322345238,0.00472232260224829,0.0006487447841028171,5
-3,0.0035685629260790996,0.006773970344056101,0.00421962279676702,5
-2,-0.003980483703197502,0.011937981509211184,0.0002223429537933086,5
-1,-0.01252992774223689,0.020813834787973644,-0.012310370729588627,5
0,-0.0327911096131364,0.013390529821885929,-0.04469780962675274,5
1,0.002273628795045779,0.009178567710067875,-0.042525807058749865,5
2,0.0007517341116333621,0.011554357866630496,-0.041806041046907216,5
3,0.025972672302895662,0.040796747349965,-0.016919183348404254,5
4,-0.004652276682637213,0.020695520867460786,-0.021492747308860416,5
5,0.008959215791314845,0.008687894379852972,-0.012726089678633978,5
6,0.005733744584777623,0.009232308108856774,-0.007065313241636617,5
7,-0.003564901195290804,0.005100402792209115,-0.010605027293307256,5
8,-0.0009021612425948788,0.013510605073059217,-0.01149762109130148,5
9,-0.0003433450906967561,0.005022884437048302,-0.011837018530241883,5
10,-8.906276154703185e-05,0.013626494721490726,-0.011925027054230153,5
11,0.01151500055321968,0.009307002933044572,-0.0005473431941371842,5
12,0.0002930486015178868,0.009634277947267095,-0.00025445499077703104,5
13,0.000899791217694057,0.011101738986253093,0.0006451072705508931,5
14,-0.0038096233627548993,0.010579807557497187,-0.003166973707933396,5
15,0.004117430733855887,0.007065626669131386,0.0009374172310441242,5
16,0.004184736161436176,0.003446569117193408,0.005126076236265487,5
17,0.0014300393986760751,0.010331845699456988,0.0065634461259200805,5
18,0.004574165278747588,0.005685244567778673,0.011167633692045875,5
19,0.004576728218756876,0.009201493377673068,0.015795473135058025,5
20,-0.00297917721663834,0.009983905687995738,0.012769238404729766,5
