day,avg_return,std_return,cumulative_return,n_events
-10,0.01794384385911142,0.04814706571038834,0.01794384385911152,12
-9,0.005377797480176648,0.025059948715940382,0.023418139697578555,12
-8,0.012674612332830173,0.03421691345567498,0.03638956787263159,12
-7,0.016512068303436055,0.04397518851957497,0.053502503206313,12
-6,0.015363766038452797,0.03557398307701102,0.06968826918649929,12
-5,-0.017798507717334322,0.07721784939298576,0.050649414272241344,12
-4,-0.0033112375641792626,0.0196647517107723,0.047170464464920236,12
-3,0.0036052505595981035,0.025985096260927786,0.050945776367926854,12
-2,0.01185047873147744,0.05461924932383229,0.06339998693871096,12
-1,0.02383670628288752,0.06282258567152063,0.08874794008859532,12
0,0.08198837734110725,0.16295380193854894,0.17801261702993232,12
1,-0.013374482041650426,0.04608190599686954,0.16225730843862785,12
2,0.016047188007965046,0.043368550403361926,0.18090826998077403,12
3,-0.019180603663592578,0.04395296383554546,0.1582577364912141,12
4,0.008080075307378051,0.04574872129248582,0.16761654622741617,12
5,0.01225490103866019,0.08082851163404271,0.18192557145253518,12
6,0.006014975541764713,0.05047345728807033,0.1890348248570084,12
7,0.013408281022040067,0.05715932988295251,0.20497773793368346,12
8,0.006916156825049813,0.036970523278548224,0.21331155293992654,12
9,0.017791140600765254,0.04340782925776437,0.23489774937081354,12
10,-0.006433599869532615,0.02024823910798984,0.22695291137157536,12
11,-0.007893461390435036,0.03534458811857491,0.21726800593778206,12
12,-0.010887065425565926,0.05078674149798351,0.20401552951668922,12
13,-0.003285493424390699,0.03336245969305392,0.2000597444115979,12
14,-0.00421344271018706,0.045269714534338264,0.19500336142971797,12
15,0.005921848934539879,0.039958966205442106,0.20207999081237205,12
16,0.0016407446753921955,0.03102137492792516,0.20405229715669293,12
17,0.027887409752211545,0.04068317076903917,0.23763019693059317,12
18,-0.006532185436319893,0.03069397611447118,0.2295457669826535,12
19,-0.0030343075496068275,0.035878148727087424,0.22581494697931093,12
20,-0.0025216540041168114,0.03333001729890863,0.22272386580995418,12
